spend_date,campaign_type,utm_campaign,spend,platform_reported_purchases
2024-04-29,acquisition,meta_acquisition_2024_04,1177.42,24
2024-04-30,buyer_file,meta_buyer_file_2024_04,633.71,19
2024-04-30,acquisition,meta_acquisition_2024_04,909.39,33
2024-05-01,buyer_file,meta_buyer_file_2024_05,879.19,35
2024-05-01,acquisition,meta_acquisition_2024_05,1045.71,32
2024-05-02,buyer_file,meta_buyer_file_2024_05,780.93,28
2024-05-02,acquisition,meta_acquisition_2024_05,1528.08,12
2024-05-03,buyer_file,meta_buyer_file_2024_05,875.03,9
2024-05-03,acquisition,meta_acquisition_2024_05,1209.71,32
2024-05-04,buyer_file,meta_buyer_file_2024_05,914.15,38
2024-05-04,acquisition,meta_acquisition_2024_05,1359.58,17
2024-05-05,buyer_file,meta_buyer_file_2024_05,561.77,38
2024-05-05,acquisition,meta_acquisition_2024_05,1383.32,13
2024-05-06,buyer_file,meta_buyer_file_2024_05,962.77,25
2024-05-06,acquisition,meta_acquisition_2024_05,1406.43,38
2024-05-07,buyer_file,meta_buyer_file_2024_05,979.42,37
2024-05-07,acquisition,meta_acquisition_2024_05,1420.31,22
2024-05-08,buyer_file,meta_buyer_file_2024_05,610.89,31
2024-05-08,acquisition,meta_acquisition_2024_05,954.6,19
2024-05-09,buyer_file,meta_buyer_file_2024_05,640.79,32
2024-05-09,acquisition,meta_acquisition_2024_05,862.41,28
2024-05-10,buyer_file,meta_buyer_file_2024_05,906.83,29
2024-05-10,acquisition,meta_acquisition_2024_05,1355.83,22
2024-05-11,buyer_file,meta_buyer_file_2024_05,639.56,31
2024-05-11,acquisition,meta_acquisition_2024_05,1443.82,23
2024-05-12,buyer_file,meta_buyer_file_2024_05,1005.48,18
2024-05-12,acquisition,meta_acquisition_2024_05,911.03,33
2024-05-13,buyer_file,meta_buyer_file_2024_05,652.39,5
2024-05-13,acquisition,meta_acquisition_2024_05,1116.44,16
2024-05-14,buyer_file,meta_buyer_file_2024_05,964.84,18
2024-05-14,acquisition,meta_acquisition_2024_05,1313.19,10
2024-05-15,buyer_file,meta_buyer_file_2024_05,738.33,38
2024-05-15,acquisition,meta_acquisition_2024_05,1504.79,10
2024-05-16,buyer_file,meta_buyer_file_2024_05,784.99,37
2024-05-16,acquisition,meta_acquisition_2024_05,947.7,14
2024-05-17,buyer_file,meta_buyer_file_2024_05,985.45,28
2024-05-17,acquisition,meta_acquisition_2024_05,1431.63,24
2024-05-18,buyer_file,meta_buyer_file_2024_05,758.87,40
2024-05-18,acquisition,meta_acquisition_2024_05,1267.48,6
2024-05-19,buyer_file,meta_buyer_file_2024_05,1008.11,14
2024-05-19,acquisition,meta_acquisition_2024_05,1009.61,34
2024-05-20,buyer_file,meta_buyer_file_2024_05,907.97,19
2024-05-20,acquisition,meta_acquisition_2024_05,1310.71,12
2024-05-21,buyer_file,meta_buyer_file_2024_05,776.15,37
2024-05-21,acquisition,meta_acquisition_2024_05,1521.0,6
2024-05-22,buyer_file,meta_buyer_file_2024_05,1030.73,15
2024-05-22,acquisition,meta_acquisition_2024_05,1004.16,8
2024-05-23,buyer_file,meta_buyer_file_2024_05,577.24,32
2024-05-23,acquisition,meta_acquisition_2024_05,1067.78,22
2024-05-24,buyer_file,meta_buyer_file_2024_05,979.0,39
2024-05-24,acquisition,meta_acquisition_2024_05,1291.93,33
2024-05-25,buyer_file,meta_buyer_file_2024_05,586.7,40
2024-05-25,acquisition,meta_acquisition_2024_05,1042.01,34
2024-05-26,buyer_file,meta_buyer_file_2024_05,1032.53,25
2024-05-26,acquisition,meta_acquisition_2024_05,1346.35,9
2024-05-27,buyer_file,meta_buyer_file_2024_05,861.02,33
2024-05-27,acquisition,meta_acquisition_2024_05,1142.92,25
2024-05-28,buyer_file,meta_buyer_file_2024_05,710.66,38
2024-05-28,acquisition,meta_acquisition_2024_05,895.72,39
2024-05-29,buyer_file,meta_buyer_file_2024_05,819.58,7
2024-05-29,acquisition,meta_acquisition_2024_05,1446.95,18
2024-05-30,buyer_file,meta_buyer_file_2024_05,782.13,9
2024-05-30,acquisition,meta_acquisition_2024_05,1093.97,9
2024-05-31,buyer_file,meta_buyer_file_2024_05,713.79,8
2024-05-31,acquisition,meta_acquisition_2024_05,1241.63,24
2024-06-01,buyer_file,meta_buyer_file_2024_06,737.41,29
2024-06-01,acquisition,meta_acquisition_2024_06,960.71,40
2024-06-02,buyer_file,meta_buyer_file_2024_06,660.85,21
2024-06-02,acquisition,meta_acquisition_2024_06,1236.36,33
2024-06-03,buyer_file,meta_buyer_file_2024_06,757.29,38
2024-06-03,acquisition,meta_acquisition_2024_06,856.45,14
2024-06-04,buyer_file,meta_buyer_file_2024_06,1020.55,35
2024-06-04,acquisition,meta_acquisition_2024_06,1126.99,14
2024-06-05,buyer_file,meta_buyer_file_2024_06,674.14,30
2024-06-05,acquisition,meta_acquisition_2024_06,1330.51,16
2024-06-06,buyer_file,meta_buyer_file_2024_06,614.97,6
2024-06-06,acquisition,meta_acquisition_2024_06,1295.07,26
2024-06-07,buyer_file,meta_buyer_file_2024_06,914.35,40
2024-06-07,acquisition,meta_acquisition_2024_06,1472.52,39
2024-06-08,buyer_file,meta_buyer_file_2024_06,607.89,39
2024-06-08,acquisition,meta_acquisition_2024_06,1216.56,29
2024-06-09,buyer_file,meta_buyer_file_2024_06,966.72,11
2024-06-09,acquisition,meta_acquisition_2024_06,1207.74,13
2024-06-10,buyer_file,meta_buyer_file_2024_06,951.43,6
2024-06-10,acquisition,meta_acquisition_2024_06,1307.18,36
2024-06-11,buyer_file,meta_buyer_file_2024_06,563.38,30
2024-06-11,acquisition,meta_acquisition_2024_06,1119.38,7
2024-06-12,buyer_file,meta_buyer_file_2024_06,979.08,8
2024-06-12,acquisition,meta_acquisition_2024_06,1167.37,13
2024-06-13,buyer_file,meta_buyer_file_2024_06,665.33,14
2024-06-13,acquisition,meta_acquisition_2024_06,1264.43,14
2024-06-14,buyer_file,meta_buyer_file_2024_06,746.06,19
2024-06-14,acquisition,meta_acquisition_2024_06,1001.21,37
2024-06-15,buyer_file,meta_buyer_file_2024_06,878.12,32
2024-06-15,acquisition,meta_acquisition_2024_06,1316.17,34
2024-06-16,buyer_file,meta_buyer_file_2024_06,1002.23,20
2024-06-16,acquisition,meta_acquisition_2024_06,1353.97,7
2024-06-17,buyer_file,meta_buyer_file_2024_06,761.95,25
2024-06-17,acquisition,meta_acquisition_2024_06,1171.37,31
2024-06-18,buyer_file,meta_buyer_file_2024_06,973.88,19
2024-06-18,acquisition,meta_acquisition_2024_06,1557.51,17
2024-06-19,buyer_file,meta_buyer_file_2024_06,722.39,33
2024-06-19,acquisition,meta_acquisition_2024_06,849.55,36
2024-06-20,buyer_file,meta_buyer_file_2024_06,772.28,11
2024-06-20,acquisition,meta_acquisition_2024_06,1391.48,18
2024-06-21,buyer_file,meta_buyer_file_2024_06,608.07,26
2024-06-21,acquisition,meta_acquisition_2024_06,1084.99,7
2024-06-22,buyer_file,meta_buyer_file_2024_06,887.05,25
2024-06-22,acquisition,meta_acquisition_2024_06,1156.78,7
2024-06-23,buyer_file,meta_buyer_file_2024_06,731.59,10
2024-06-23,acquisition,meta_acquisition_2024_06,1217.85,19
2024-06-24,buyer_file,meta_buyer_file_2024_06,807.96,22
2024-06-24,acquisition,meta_acquisition_2024_06,1029.65,24
2024-06-25,buyer_file,meta_buyer_file_2024_06,736.47,37
2024-06-25,acquisition,meta_acquisition_2024_06,1226.92,11
2024-06-26,buyer_file,meta_buyer_file_2024_06,1026.49,24
2024-06-26,acquisition,meta_acquisition_2024_06,886.0,35
2024-06-27,buyer_file,meta_buyer_file_2024_06,1016.47,11
2024-06-27,acquisition,meta_acquisition_2024_06,1381.83,19
2024-06-28,buyer_file,meta_buyer_file_2024_06,1029.33,25
2024-06-28,acquisition,meta_acquisition_2024_06,1452.6,17
2024-06-29,buyer_file,meta_buyer_file_2024_06,752.29,33
2024-06-29,acquisition,meta_acquisition_2024_06,921.96,30
2024-06-30,buyer_file,meta_buyer_file_2024_06,953.19,39
2024-06-30,acquisition,meta_acquisition_2024_06,1273.25,7
2024-07-01,buyer_file,meta_buyer_file_2024_07,839.73,33
2024-07-01,acquisition,meta_acquisition_2024_07,1472.41,33
2024-07-02,buyer_file,meta_buyer_file_2024_07,856.6,39
2024-07-02,acquisition,meta_acquisition_2024_07,878.47,14
2024-07-03,buyer_file,meta_buyer_file_2024_07,671.42,24
2024-07-03,acquisition,meta_acquisition_2024_07,1419.09,22
2024-07-04,buyer_file,meta_buyer_file_2024_07,731.44,37
2024-07-04,acquisition,meta_acquisition_2024_07,1050.18,31
2024-07-05,buyer_file,meta_buyer_file_2024_07,1028.64,23
2024-07-05,acquisition,meta_acquisition_2024_07,857.81,19
2024-07-06,buyer_file,meta_buyer_file_2024_07,953.31,32
2024-07-06,acquisition,meta_acquisition_2024_07,1362.45,32
2024-07-07,buyer_file,meta_buyer_file_2024_07,1017.81,6
2024-07-07,acquisition,meta_acquisition_2024_07,887.8,18
2024-07-08,buyer_file,meta_buyer_file_2024_07,1010.06,25
2024-07-08,acquisition,meta_acquisition_2024_07,1185.43,36
2024-07-09,buyer_file,meta_buyer_file_2024_07,802.9,18
2024-07-09,acquisition,meta_acquisition_2024_07,1465.39,27
2024-07-10,buyer_file,meta_buyer_file_2024_07,839.5,36
2024-07-10,acquisition,meta_acquisition_2024_07,1103.56,15
2024-07-11,buyer_file,meta_buyer_file_2024_07,848.68,14
2024-07-11,acquisition,meta_acquisition_2024_07,1317.03,19
2024-07-12,buyer_file,meta_buyer_file_2024_07,610.14,30
2024-07-12,acquisition,meta_acquisition_2024_07,1532.45,18
2024-07-13,buyer_file,meta_buyer_file_2024_07,901.12,13
2024-07-13,acquisition,meta_acquisition_2024_07,1246.75,10
2024-07-14,buyer_file,meta_buyer_file_2024_07,719.08,28
2024-07-14,acquisition,meta_acquisition_2024_07,1503.67,24
2024-07-15,buyer_file,meta_buyer_file_2024_07,868.42,19
2024-07-15,acquisition,meta_acquisition_2024_07,1003.18,24
2024-07-16,buyer_file,meta_buyer_file_2024_07,603.43,28
2024-07-16,acquisition,meta_acquisition_2024_07,889.66,27
2024-07-17,buyer_file,meta_buyer_file_2024_07,860.88,21
2024-07-17,acquisition,meta_acquisition_2024_07,1227.03,32
2024-07-18,buyer_file,meta_buyer_file_2024_07,942.61,6
2024-07-18,acquisition,meta_acquisition_2024_07,1521.65,18
2024-07-19,buyer_file,meta_buyer_file_2024_07,703.95,29
2024-07-19,acquisition,meta_acquisition_2024_07,1449.52,21
2024-07-20,buyer_file,meta_buyer_file_2024_07,746.61,12
2024-07-20,acquisition,meta_acquisition_2024_07,1088.67,27
2024-07-21,buyer_file,meta_buyer_file_2024_07,821.49,10
2024-07-21,acquisition,meta_acquisition_2024_07,1503.54,36
2024-07-22,buyer_file,meta_buyer_file_2024_07,688.51,12
2024-07-22,acquisition,meta_acquisition_2024_07,1145.78,33
2024-07-23,buyer_file,meta_buyer_file_2024_07,561.41,5
2024-07-23,acquisition,meta_acquisition_2024_07,1522.78,15
2024-07-24,buyer_file,meta_buyer_file_2024_07,596.92,11
2024-07-24,acquisition,meta_acquisition_2024_07,1131.23,40
2024-07-25,buyer_file,meta_buyer_file_2024_07,594.47,23
2024-07-25,acquisition,meta_acquisition_2024_07,1481.69,11
2024-07-26,buyer_file,meta_buyer_file_2024_07,669.4,24
2024-07-26,acquisition,meta_acquisition_2024_07,1443.2,35
2024-07-27,buyer_file,meta_buyer_file_2024_07,745.57,8
2024-07-27,acquisition,meta_acquisition_2024_07,1347.77,21
2024-07-28,buyer_file,meta_buyer_file_2024_07,952.3,18
2024-07-28,acquisition,meta_acquisition_2024_07,1339.68,33
2024-07-29,buyer_file,meta_buyer_file_2024_07,698.14,13
2024-07-29,acquisition,meta_acquisition_2024_07,1265.87,13
2024-07-30,buyer_file,meta_buyer_file_2024_07,817.29,23
2024-07-30,acquisition,meta_acquisition_2024_07,1318.4,20
2024-07-31,buyer_file,meta_buyer_file_2024_07,1026.12,6
2024-07-31,acquisition,meta_acquisition_2024_07,1424.57,32
2024-08-01,buyer_file,meta_buyer_file_2024_08,1021.64,27
2024-08-01,acquisition,meta_acquisition_2024_08,1537.86,6
2024-08-02,buyer_file,meta_buyer_file_2024_08,836.07,29
